"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - SCA|FR","+ Scarcity [EUR/MWh] - SCA|FR","+ Incentive [EUR/MWh] - SCA|FR","+ Financial Neutrality [EUR/MWh] - SCA|FR","- Imbalance Price [EUR/MWh] - SCA|FR","- Scarcity [EUR/MWh] - SCA|FR","- Incentive [EUR/MWh] - SCA|FR","- Financial Neutrality [EUR/MWh] - SCA|FR","Currency","Status","Total Imbalance [MWh] - SCA|FR","Difference","Situation","Status"
"03.01.2022 04:30 - 03.01.2022 05:00","-21.88","","","","-19.80","","","","EUR","Estimated","410","","Surplus","Final"
"03.01.2022 05:00 - 03.01.2022 05:30","-18.36","","","","-16.62","","","","EUR","Estimated","168","","Surplus","Final"
"03.01.2022 05:30 - 03.01.2022 06:00","-7.52","","","","-6.80","","","","EUR","Estimated","260","","Surplus","Final"
"03.01.2022 06:00 - 03.01.2022 06:30","9.90","","","","10.94","","","","EUR","Estimated","442","","Surplus","Final"
"03.01.2022 06:30 - 03.01.2022 07:00","111.96","","","","123.74","","","","EUR","Estimated","100","","Deficit","Final"
"03.01.2022 07:00 - 03.01.2022 07:30","90.90","","","","100.46","","","","EUR","Estimated","634","","Surplus","Final"
"03.01.2022 07:30 - 03.01.2022 08:00","71.70","","","","79.24","","","","EUR","Estimated","647","","Surplus","Final"
"03.01.2022 08:00 - 03.01.2022 08:30","55.72","","","","61.58","","","","EUR","Estimated","1222","","Surplus","Final"
"03.01.2022 08:30 - 03.01.2022 09:00","47.39","","","","52.37","","","","EUR","Estimated","1080","","Surplus","Final"
"03.01.2022 09:00 - 03.01.2022 09:30","53.80","","","","59.46","","","","EUR","Estimated","502","","Surplus","Final"
"03.01.2022 09:30 - 03.01.2022 10:00","64.94","","","","71.78","","","","EUR","Estimated","769","","Surplus","Final"
"03.01.2022 10:00 - 03.01.2022 10:30","115.38","","","","127.52","","","","EUR","Estimated","273","","Surplus","Final"
"03.01.2022 10:30 - 03.01.2022 11:00","112.20","","","","124.01","","","","EUR","Estimated","379","","Surplus","Final"
"03.01.2022 11:00 - 03.01.2022 11:30","95.70","","","","105.78","","","","EUR","Estimated","221","","Deficit","Final"
"03.01.2022 11:30 - 03.01.2022 12:00","67.87","","","","75.01","","","","EUR","Estimated","274","","Surplus","Final"
"03.01.2022 12:00 - 03.01.2022 12:30","25.70","","","","28.40","","","","EUR","Estimated","355","","Surplus","Final"
"03.01.2022 12:30 - 03.01.2022 13:00","64.88","","","","71.70","","","","EUR","Estimated","94","","Surplus","Final"
"03.01.2022 13:00 - 03.01.2022 13:30","45.61","","","","50.41","","","","EUR","Estimated","257","","Surplus","Final"
"03.01.2022 13:30 - 03.01.2022 14:00","47.63","","","","52.65","","","","EUR","Estimated","734","","Surplus","Final"
"03.01.2022 14:00 - 03.01.2022 14:30","61.38","","","","67.84","","","","EUR","Estimated","106","","Surplus","Final"
"03.01.2022 14:30 - 03.01.2022 15:00","64.10","","","","70.84","","","","EUR","Estimated","407","","Surplus","Final"
"03.01.2022 15:00 - 03.01.2022 15:30","80.41","","","","88.87","","","","EUR","Estimated","50","","Surplus","Final"
"03.01.2022 15:30 - 03.01.2022 16:00","107.23","","","","118.51","","","","EUR","Estimated","47","","Deficit","Final"
"03.01.2022 16:00 - 03.01.2022 16:30","0.04","","","","0.04","","","","EUR","Estimated","19","","Surplus","Final"
"03.01.2022 16:30 - 03.01.2022 17:00","134.77","","","","148.95","","","","EUR","Estimated","161","","Deficit","Final"
"03.01.2022 17:00 - 03.01.2022 17:30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","N/A","N/A","N/A","N/A"
"03.01.2022 17:30 - 03.01.2022 18:00","205.23","","","","226.83","","","","EUR","Estimated","420","","Deficit","Final"
"03.01.2022 18:00 - 03.01.2022 18:30","180.25","","","","199.23","","","","EUR","Estimated","11","","Deficit","Final"
"03.01.2022 18:30 - 03.01.2022 19:00","181.94","","","","201.10","","","","EUR","Estimated","451","","Deficit","Final"
"03.01.2022 19:00 - 03.01.2022 19:30","185.47","","","","204.99","","","","EUR","Estimated","607","","Deficit","Final"
"03.01.2022 19:30 - 03.01.2022 20:00","204.16","","","","225.66","","","","EUR","Estimated","316","","Deficit","Final"
"03.01.2022 20:00 - 03.01.2022 20:30","247.30","","","","273.34","","","","EUR","Estimated","614","","Deficit","Final"
"03.01.2022 20:30 - 03.01.2022 21:00","224.55","","","","248.19","","","","EUR","Estimated","113","","Deficit","Final"
"03.01.2022 21:00 - 03.01.2022 21:30","183.05","","","","202.31","","","","EUR","Estimated","389","","Deficit","Final"
"03.01.2022 21:30 - 03.01.2022 22:00","102.44","","","","113.22","","","","EUR","Estimated","26","","Surplus","Final"
"03.01.2022 22:00 - 03.01.2022 22:30","179.42","","","","198.30","","","","EUR","Estimated","216","","Deficit","Final"
"03.01.2022 22:30 - 03.01.2022 23:00","184.24","","","","203.64","","","","EUR","Estimated","610","","Deficit","Final"
"03.01.2022 23:00 - 03.01.2022 23:30","101.52","","","","112.20","","","","EUR","Estimated","224","","Surplus","Final"
"03.01.2022 23:30 - 04.01.2022 00:00","95.34","","","","105.38","","","","EUR","Estimated","313","","Surplus","Final"
